strain	date	clade_membership
DENV4/VENEZUELA/BIDV1156/2007	2007-12-31	DENV4
DENV2/THAILAND/BIDV2309/2001	2001-01-01	DENV2
DENV2/THAILAND/NHP14/1993	1993-12-31	DENV2
DENV2/CAMBODIA/BIDV2062/2007	2007-04-28	DENV2
DENV2/VIETNAM/BIDV715/2006	2006-12-31	DENV2
DENV3/VIETNAM/BIDV1783/2007	2007-01-01	DENV3
DENV3/CHINA/07CHLS001/2008	2008-12-31	DENV3
DENV3/VENEZUELA/BIDV2479/2007	2007-12-31	DENV3
DENV3/NICARAGUA/BIDV4829/2009	2009-01-01	DENV3
DENV3/NICARAGUA/BIDV4856/2009	2009-12-31	DENV3
DENV1/TAIWAN/832/1994	1994-12-31	DENV1
DENV1/VIETNAM/BIDV1862/2008	2008-12-31	DENV1
DENV1/VIETNAM/BIDV935/2006	2006-12-31	DENV1
DENV1/VENEZUELA/BIDV2254/2005	2005-12-31	DENV1
DENV1/NICARAGUA/BIDV602/2005	2005-12-31	DENV1
DENV1/VENEZUELA/BIDV3561/2006	2006-01-01	DENV1
