strain	date	clade_membership
DENV2/TAIWAN/9501112/2001	2001-01-01	DENV2/C
DENV2/SINGAPORE/CT24/2012	2012-11-03	DENV2/C
DENV2/MALAYSIA/22563/2000	2000-12-31	DENV2/C
DENV2/MALAYSIA/TM26/2014	2014-01-31	DENV2/C
DENV2/INDONESIA/MKS0084/2007	2007-11-21	DENV2/C
DENV2/SINGAPORE/CT32/2013	2013-12-31	DENV2/C
DENV2/INDONESIA/MKS0502/2007	2007-12-11	DENV2/C
DENV2/INDONESIA/MKS3007/2008	2008-02-15	DENV2/C
DENV2/THAILAND/BIDV2279/2001	2001-01-01	DENV2
DENV2/VIETNAM/HCM18C/2002	2002-01-01	DENV2/AA
DENV2/PUERTO_RICO/BIDV856/1986	1986-12-31	DENV2/AA
DENV2/PUERTO_RICO/BIDV851/1990	1990-12-31	DENV2/AA
DENV2/PUERTO_RICO/BIDV1393/1998	1998-12-31	DENV2/AA
DENV2/PERU/FPI01695/2011	2011-04-04	DENV2/AA
DENV2/PUERTO_RICO/BIDV1033/1998	1998-12-31	DENV2/AA
DENV2/NICARAGUA/BIDV2657/2000	2000-01-09	DENV2/AA
DENV2/NICARAGUA/BIDV1201/2007	2007-03-20	DENV2/AA
DENV2/NICARAGUA/BIDV2364/2000	2000-12-31	DENV2/AA
DENV2/NICARAGUA/BIDV563/2006	2006-01-01	DENV2/AA
DENV2/NICARAGUA/BIDV548/2005	2005-12-31	DENV2/AA
